Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,SoldTime
16,RM,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,GdPrv,0,WD,Normal,45,51.0,6120,7,8,78,6,0.0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,16.0,2,576,48,112,0,0,0,0,0,7,2007,132000,2007-07-01
17,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,Shed,WD,Normal,20,0.0,11241,6,7,40,40,180.0,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,40.0,2,480,0,0,0,0,0,0,700,3,2010,149000,2010-03-01
18,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,0,0,0,0,0,GasA,TA,Y,SBrkr,TA,Typ,0,CarPort,Unf,TA,TA,Y,0,0,Shed,WD,Normal,90,72.0,10791,4,5,39,39,0.0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,39.0,2,516,0,0,0,0,0,0,500,10,2006,90000,2006-10-01
19,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,66.0,13695,5,5,4,4,0.0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,4.0,2,576,0,102,0,0,0,0,0,6,2008,159000,2008-06-01
20,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,0,Attchd,Unf,TA,TA,Y,0,MnPrv,0,COD,Abnorml,20,70.0,7560,5,6,51,44,0.0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,51.0,1,294,0,0,0,0,0,0,0,5,2009,139000,2009-05-01
21,RL,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,0,0,0,New,Partial,60,101.0,14215,8,5,1,0,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,1.0,3,853,240,154,0,0,0,0,0,11,2006,325300,2006-11-01
22,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,0,GdPrv,0,WD,Normal,45,57.0,7449,7,7,77,57,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,77.0,1,280,0,0,205,0,0,0,0,6,2007,139400,2007-06-01
23,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,75.0,9742,8,5,6,6,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,6.0,2,534,171,159,0,0,0,0,0,9,2008,230000,2008-09-01
24,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,120,44.0,4224,5,7,31,31,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,31.0,2,572,100,110,0,0,0,0,0,6,2007,129900,2007-06-01
25,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,20,0.0,8246,5,8,42,9,0.0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,42.0,1,270,406,90,0,0,0,0,0,5,2010,154000,2010-05-01
26,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,110.0,14230,8,5,2,2,640.0,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2.0,3,890,0,56,0,0,0,0,0,7,2009,256300,2009-07-01
27,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,60.0,7200,5,7,59,10,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,5.0,2,576,222,32,0,0,0,0,0,5,2010,134800,2010-05-01
28,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,98.0,11478,8,5,3,2,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2.0,3,772,0,50,0,0,0,0,0,5,2010,306000,2010-05-01
29,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,47.0,16321,5,6,49,9,0.0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,49.0,1,319,288,258,0,0,0,0,0,12,2006,207500,2006-12-01
30,RM,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,0,Detchd,Unf,Fa,TA,Y,0,0,0,WD,Normal,30,60.0,6324,4,6,81,58,0.0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,88.0,1,240,49,0,87,0,0,0,0,5,2008,68500,2008-05-01
31,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,0,Detchd,Unf,TA,Fa,N,0,MnPrv,0,WD,Normal,70,50.0,8500,4,4,88,58,0.0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,88.0,1,250,0,54,172,0,0,0,0,7,2008,40000,2008-07-01
32,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,20,0.0,8544,5,6,42,2,0.0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,42.0,1,271,0,65,0,0,0,0,0,6,2008,149350,2008-06-01
33,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,85.0,11049,8,5,1,1,0.0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,1.0,2,484,0,30,0,0,0,0,0,1,2008,179900,2008-01-01
34,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,70.0,10552,5,5,51,51,0.0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,51.0,2,447,0,38,0,0,0,0,0,4,2010,165500,2010-04-01
35,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,120,60.0,7313,9,5,2,2,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2.0,2,556,203,47,0,0,0,0,0,8,2007,277500,2007-08-01
36,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,0,0,0,WD,Normal,60,108.0,13418,8,5,2,1,132.0,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2.0,3,691,113,32,0,0,0,0,0,9,2006,309000,2006-09-01
37,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,112.0,10859,5,5,15,14,0.0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,14.0,2,672,392,64,0,0,0,0,0,6,2009,145000,2009-06-01
38,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,20,74.0,8532,5,6,55,19,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,55.0,2,498,0,0,0,0,0,0,0,10,2009,153000,2009-10-01
39,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Abnorml,20,68.0,7922,5,7,57,3,0.0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,57.0,1,246,0,52,0,0,0,0,0,1,2010,109000,2010-01-01
40,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,0,0,0,0,0,GasA,TA,N,FuseP,Fa,Typ,0,0,0,0,0,N,0,0,0,WD,AdjLand,90,65.0,6040,4,5,53,53,0.0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,2008.0,0,0,0,0,0,0,0,0,0,6,2008,82000,2008-06-01
41,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,0,GdWo,0,WD,Abnorml,20,84.0,8658,6,5,41,41,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,41.0,2,440,0,138,0,0,0,0,0,12,2006,160000,2006-12-01
42,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,P,0,0,0,WD,Normal,20,115.0,16905,5,6,48,48,0.0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,48.0,1,308,0,104,0,0,0,0,0,7,2007,170000,2007-07-01
43,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,RFn,TA,Gd,Y,0,MnPrv,0,WD,Normal,85,0.0,9180,5,7,24,24,0.0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,24.0,2,504,240,0,0,0,0,0,0,12,2007,144000,2007-12-01
44,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,20,0.0,9200,5,6,33,28,0.0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,31.0,1,308,145,0,0,0,0,0,0,7,2008,130250,2008-07-01
45,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,TA,Typ,0,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,70.0,7945,5,6,47,47,0.0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,47.0,1,300,0,0,0,0,0,0,0,5,2006,141000,2006-05-01
46,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,120,61.0,7658,9,5,5,5,412.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,5.0,2,576,196,82,0,0,0,0,0,2,2010,319900,2010-02-01
47,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Ex,Attchd,RFn,TA,TA,Y,0,0,0,WD,Abnorml,50,48.0,12822,7,5,6,6,0.0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,6.0,2,670,168,43,0,0,198,0,0,8,2009,239686,2009-08-01
48,FV,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,84.0,11096,8,5,1,1,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,1.0,3,826,0,146,0,0,0,0,0,7,2007,249700,2007-07-01
49,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,0,0,0,0,N,0,0,0,New,Partial,190,33.0,4456,4,5,89,1,0.0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,2009.0,0,0,0,0,102,0,0,0,0,6,2009,113000,2009-06-01
